image_number,Penetration_depth (nm),Load (mN),E (GPa)
257,4794,799.235,75.8
258,4887,799.462,76
259,5150,653.05,69.4
260,5159,447.637,67.2
261,5134,501.639,62.4
262,4640,798.884,82
263,4720,799.821,84.6
264,4565,798.673,73.1
265,4878,799.154,77.5
266,4632,798.627,78.4
267,4399,799.546,77.7
268,5156,796.277,74.7
269,5146,448.976,59.1
270,5162,601.571,73.8
271,4606,799.229,74.4
272,4543,798.747,82.2
273,4615,799.037,70.8
274,5143,781.874,73.4
275,4643,799.506,71.6
276,5118,596.59,65.1
277,5084,799.848,88
278,4457,799.084,79.6
279,4819,798.917,76.3
280,4781,799.591,73.9
281,5138,504.795,72
282,4563,798.293,74.3
283,5149,736.738,70.6
284,5238,222.74,46.3
285,5150,440.743,68.8
286,5146,527.755,75.9
287,5157,704.804,66.5
288,5070,849.143,70.6
289,4725,849.208,83.2
290,5123,735.122,72.9
291,4928,849.891,69.1
292,4833,848.216,66.3
293,5137,773.884,70.4
294,5145,607.241,72.7
295,5124,513.113,61.4
296,5147,652.136,63.6
297,5034,849.242,67.4
298,4758,848.733,80
299,4761,848.909,85.7
300,4874,849.253,72.1
301,5041,849.24,73.8
302,5140,365.717,65.6
303,4742,848.649,80
304,5131,796.976,68.6
305,4544,848.459,77.6
306,5136,587.261,73.4
307,5155,741.179,66.2
308,4856,848.579,73.9
309,5157,766.705,84
310,4722,849.733,75
311,4905,849.808,63.8
312,5132,832.605,72.8
313,5139,536.729,65.2
314,4646,849.254,74.3
315,4653,848.529,81.7
316,5144,431.588,62.4
317,5139,557.379,64.2
318,5130,868.231,68.6
319,4968,899.078,79.6
320,4865,899.189,79.6
321,4911,899.193,78.7
322,4856,899.31,76.5
323,5154,596.871,71.7
324,5157,671.474,65
325,4983,899.197,81.6
326,5143,838.211,70.2
327,4920,898.478,72.7
328,4948,899.01,82.3
329,5143,724.348,71.2
330,5142,521.322,70.9
331,5156,394.827,58
332,5143,443.459,58.1
333,5151,853.024,60.4
334,4958,898.474,81.4
335,4858,899.145,76
336,5152,868.724,71.1
337,5125,763.556,72.6
338,4762,899.859,78.7
339,4807,899.023,76.8
340,4841,899.757,78.1
341,5148,325.062,65.1
342,5143,745.993,66.7
343,5115,943.837,67.2
344,5125,519.147,73.7
345,5145,757.433,61.5
346,5127,941.658,75.5
347,5142,618.714,71.5
348,5137,521.79,66.3
349,4915,949.917,76.3
350,4950,949.949,78.1
351,4959,948.447,68.2
352,5151,834.249,71.2
353,5148,519.137,68.3
354,4876,949.815,76.8
355,5123,940.564,76
356,5120,948.044,68
357,5035,949.441,82.6
358,5110,948.686,80.3
359,5160,940.667,74.1
360,5155,697.939,70.2
361,5147,331.646,55.8
362,5122,445.79,62
363,5155,860.885,73.3
364,5134,853.823,77.2
365,5120,968.784,86.7
366,5148,529.262,63.7
367,5146,702.606,66.6
368,5135,963.86,78.4
369,5122,779.028,35.7
370,5126,896.045,70.9
371,5118,989.487,66
372,5084,999.014,74
373,5158,868.332,68.3
374,5126,640.232,71.3
375,5135,497.626,62.4
376,5124,952.242,81.4
377,5130,943.43,71.9
378,5187,781.881,68.1
379,5108,999.251,72.2
380,5032,999.894,81
381,5157,709.421,68.5
382,5138,734.965,65.9
383,5027,999.87,79.9
384,5134,949.68,69.4
385,5131,778.848,77.6
386,3138,399.728,78.18
387,3156,399.545,76.57
388,3296,399.578,72.31
389,2994,399.574,80.59
390,3142,399.702,76.38
391,3171,399.989,80.28
392,3164,399.803,75.97
393,3109,399.855,79.09
394,3084,399.53,78.62
395,3144,399.998,76.52
396,3096,399.463,78.19
397,3058,399.612,83.4
398,3042,399.589,78.5
399,3192,399.679,78.82
400,3145,399.97,83.9
401,3099,399.559,77.93
402,3126,399.916,79.01
403,3208,399.919,77.34
404,3082,399.681,77.71
405,3128,399.607,76.46
406,3066,399.865,75.78
407,3140,399.867,75.73
408,3083,399.663,80.27
409,3267,399.919,73.95
410,3096,399.591,75.04
411,3210,399.807,75.15
412,3151,399.599,76.48
413,3161,399.846,71.44
414,3277,449.948,77.05
415,3334,449.809,76.13
416,3321,449.647,80.61
417,3240,449.951,79.31
418,3346,449.865,75.35
419,3323,450,80.42
420,3251,449.967,79.42
421,3262,449.626,80.12
422,3314,449.907,78.47
423,3277,449.744,79.93
424,3337,449.734,79.49
425,3294,449.674,75.79
426,3255,449.886,78.68
427,3278,449.702,80
428,3225,449.915,81.97
429,2981,449.908,95.52
430,3430,449.771,75.52
431,3324,449.767,79.52
432,3402,449.376,79.38
433,3302,449.975,76.04
434,3299,449.97,80.43
435,3088,449.516,78.19
436,3331,449.847,80.22
437,3310,449.436,80.84
438,3313,449.758,78.03
439,3190,449.622,77.75
440,3362,449.647,80.55
441,3274,449.825,80.94
442,3241,449.397,78.47
443,3294,449.644,79.17
444,3242,449.772,81.44
445,3368,449.72,81.05
446,3277,449.638,75.24
447,3365,449.903,76.69
448,3343,449.739,79.32
449,3152,449.892,77.69
450,3503,499.366,77.35
451,3670,499.797,72.29
452,3509,499.906,82.95
453,3531,499.297,79.65
454,3633,499.953,86.31
455,3434,499.984,79.45
